Date,Home,Away,Time,TV
Saturday 2 November 2024,Nashville Predators,Colorado Avalanche,20:00,
Saturday 2 November 2024,Vegas Golden Knights,Utah Jazz,22:00,
Saturday 2 November 2024,San Jose Sharks,Vancouver Canucks,22:00,
Sunday 3 November 2024,New York Rangers,New York Islanders,13:00,
Sunday 3 November 2024,Winnipeg Jets,Tampa Bay Lightning,15:00,
Sunday 3 November 2024,Boston Bruins,Seattle Kraken,17:00,
Sunday 3 November 2024,Carolina Hurricanes,Washington Capitals,17:00,
Sunday 3 November 2024,Minnesota Wild,Toronto Maple Leafs,18:00,
Sunday 3 November 2024,Calgary Flames,Edmonton Oilers,20:00,
Sunday 3 November 2024,Anaheim Ducks,Chicago Blackhawks,20:00,
Monday 4 November 2024,Nashville Predators,Los Angeles Kings,20:00,
Monday 4 November 2024,Edmonton Oilers,New Jersey Devils,20:30,
Tuesday 5 November 2024,Buffalo Sabres,Ottawa Senators,19:00,
Tuesday 5 November 2024,Toronto Maple Leafs,Boston Bruins,19:00,
Tuesday 5 November 2024,Montreal Canadiens,Calgary Flames,19:00,
Tuesday 5 November 2024,Carolina Hurricanes,Philadelphia Flyers,19:00,
Tuesday 5 November 2024,New York Rangers,Pittsburgh Penguins,19:30,
Tuesday 5 November 2024,St. Louis Blues,Tampa Bay Lightning,20:00,
Tuesday 5 November 2024,Minnesota Wild,Los Angeles Kings,20:00,
Tuesday 5 November 2024,Winnipeg Jets,Utah Jazz,20:00,
Tuesday 5 November 2024,Colorado Avalanche,Seattle Kraken,21:00,
Tuesday 5 November 2024,Anaheim Ducks,Vancouver Canucks,22:00,
Tuesday 5 November 2024,San Jose Sharks,Columbus Blue Jackets,22:30,
Wednesday 6 November 2024,Washington Capitals,Nashville Predators,19:00,
Wednesday 6 November 2024,Chicago Blackhawks,Detroit Red Wings,20:00,
Wednesday 6 November 2024,Edmonton Oilers,Vegas Golden Knights,20:30,
Thursday 7 November 2024,Boston Bruins,Calgary Flames,19:00,
Thursday 7 November 2024,Ottawa Senators,New York Rangers,19:00,
Thursday 7 November 2024,Tampa Bay Lightning,Philadelphia Flyers,19:00,
Thursday 7 November 2024,Florida Panthers,Nashville Predators,19:00,
Thursday 7 November 2024,New Jersey Devils,Montreal Canadiens,19:00,
Thursday 7 November 2024,New York Islanders,Buffalo Sabres,19:00,
Thursday 7 November 2024,Carolina Hurricanes,Pittsburgh Penguins,19:00,
Thursday 7 November 2024,St. Louis Blues,Utah Jazz,20:00,
Thursday 7 November 2024,Dallas Stars,Chicago Blackhawks,20:00,
Thursday 7 November 2024,Winnipeg Jets,Colorado Avalanche,20:00,
Thursday 7 November 2024,Los Angeles Kings,Vancouver Canucks,22:30,
Thursday 7 November 2024,San Jose Sharks,Minnesota Wild,22:30,
Friday 8 November 2024,Toronto Maple Leafs,Detroit Red Wings,19:00,
Friday 8 November 2024,Washington Capitals,Pittsburgh Penguins,19:00,
Friday 8 November 2024,Anaheim Ducks,Minnesota Wild,22:00,
Friday 8 November 2024,Seattle Kraken,Vegas Golden Knights,22:00,
Saturday 9 November 2024,Buffalo Sabres,Calgary Flames,13:00,
Saturday 9 November 2024,Florida Panthers,Philadelphia Flyers,18:00,
Saturday 9 November 2024,Boston Bruins,Ottawa Senators,19:00,
Saturday 9 November 2024,Toronto Maple Leafs,Montreal Canadiens,19:00,
Saturday 9 November 2024,Detroit Red Wings,New York Rangers,19:00,
Saturday 9 November 2024,St. Louis Blues,Washington Capitals,19:00,
Saturday 9 November 2024,Winnipeg Jets,Dallas Stars,19:00,
Saturday 9 November 2024,New York Islanders,New Jersey Devils,19:30,
Saturday 9 November 2024,Nashville Predators,Utah Jazz,20:00,
Saturday 9 November 2024,Colorado Avalanche,Carolina Hurricanes,21:00,
Saturday 9 November 2024,Los Angeles Kings,Columbus Blue Jackets,21:00,
Saturday 9 November 2024,Vancouver Canucks,Edmonton Oilers,22:00,
Sunday 10 November 2024,New Jersey Devils,San Jose Sharks,19:00,
Sunday 10 November 2024,Chicago Blackhawks,Minnesota Wild,19:00,
Sunday 10 November 2024,Anaheim Ducks,Columbus Blue Jackets,20:00,
Monday 11 November 2024,Buffalo Sabres,Montreal Canadiens,12:30,
Monday 11 November 2024,Philadelphia Flyers,San Jose Sharks,19:00,
Monday 11 November 2024,Pittsburgh Penguins,Dallas Stars,19:00,
Monday 11 November 2024,Calgary Flames,Los Angeles Kings,20:30,
Monday 11 November 2024,Colorado Avalanche,Nashville Predators,21:00,
Monday 11 November 2024,Vegas Golden Knights,Carolina Hurricanes,22:00,
Tuesday 12 November 2024,Toronto Maple Leafs,Ottawa Senators,19:00,
Tuesday 12 November 2024,Florida Panthers,New Jersey Devils,19:00,
Tuesday 12 November 2024,New York Rangers,Winnipeg Jets,19:00,
Tuesday 12 November 2024,St. Louis Blues,Boston Bruins,20:00,
Tuesday 12 November 2024,Edmonton Oilers,New York Islanders,21:00,
Tuesday 12 November 2024,Vancouver Canucks,Calgary Flames,22:00,
Tuesday 12 November 2024,Seattle Kraken,Columbus Blue Jackets,22:00,
Wednesday 13 November 2024,Pittsburgh Penguins,Detroit Red Wings,19:30,
Wednesday 13 November 2024,Washington Capitals,Toronto Maple Leafs,19:30,
Wednesday 13 November 2024,Utah Jazz,Carolina Hurricanes,21:00,
Wednesday 13 November 2024,Colorado Avalanche,Los Angeles Kings,22:00,
Wednesday 13 November 2024,Anaheim Ducks,Vegas Golden Knights,22:00,
Thursday 14 November 2024,Buffalo Sabres,St. Louis Blues,19:00,
