Date,Home,Away,Time,TV
Saturday 16 November 2024,Sacramento Kings,Utah Jazz,22:00,NBA League Pass
Sunday 17 November 2024,Minnesota Timberwolves,Phoenix Suns,15:30,NBA League Pass
Sunday 17 November 2024,Indiana Pacers,Miami Heat,17:00,NBA League Pass
Sunday 17 November 2024,Cleveland Cavaliers,Charlotte Hornets,18:00,NBA League Pass
Sunday 17 November 2024,Washington Wizards,Detroit Pistons,18:00,NBA League Pass
Sunday 17 November 2024,Memphis Grizzlies,Denver Nuggets,18:00,NBA League Pass
Sunday 17 November 2024,Portland Trail Blazers,Atlanta Hawks,18:00,NBA League Pass
Sunday 17 November 2024,New York Knicks,Brooklyn Nets,19:00,NBA League Pass
Sunday 17 November 2024,Chicago Bulls,Houston Rockets,19:00,NBA League Pass
Sunday 17 November 2024,Oklahoma City Thunder,Dallas Mavericks,19:00,NBA League Pass
Sunday 17 November 2024,LA Clippers,Utah Jazz,21:00,NBA League Pass
Monday 18 November 2024,Milwaukee Bucks,Houston Rockets,20:00,NBATV
Monday 18 November 2024,LA Clippers,Golden State Warriors,22:30,NBATV
Monday 18 November 2024,Detroit Pistons,Chicago Bulls,19:00,NBA League Pass
Monday 18 November 2024,Miami Heat,Philadelphia 76ers,19:30,NBA League Pass
Monday 18 November 2024,New York Knicks,Washington Wizards,19:30,NBA League Pass
Monday 18 November 2024,Toronto Raptors,Indiana Pacers,19:30,NBA League Pass
Monday 18 November 2024,Phoenix Suns,Orlando Magic,21:00,NBA League Pass
Monday 18 November 2024,Sacramento Kings,Atlanta Hawks,22:00,NBA League Pass
Tuesday 19 November 2024,Boston Celtics,Cleveland Cavaliers,19:00,TNT
Tuesday 19 November 2024,San Antonio Spurs,Oklahoma City Thunder,21:30,TNT
Tuesday 19 November 2024,Brooklyn Nets,Charlotte Hornets,19:30,NBA League Pass
Tuesday 19 November 2024,Memphis Grizzlies,Denver Nuggets,20:00,NBA League Pass
