Wednesday 29 January 2024,Boston Celtics,Chicago Bulls,19:30,NBA League Pass
Wednesday 29 January 2024,Miami Heat,Cleveland Cavaliers,19:30,NBA League Pass
Wednesday 29 January 2024,Philadelphia 76ers,Sacramento Kings,19:30,NBA League Pass
Wednesday 29 January 2024,New Orleans Pelicans,Dallas Mavericks,20:00,NBA League Pass
Wednesday 29 January 2024,San Antonio Spurs,LA Clippers,20:00,NBA League Pass
Wednesday 29 January 2024,Phoenix Suns,Minnesota Timberwolves,21:00,NBA League Pass
Thursday 30 January 2024,Washington Wizards,Los Angeles Lakers,19:00,NBA League Pass
Thursday 30 January 2024,Memphis Grizzlies,Houston Rockets,19:30,TNT
Thursday 30 January 2024,Cleveland Cavaliers,Atlanta Hawks,19:30,NBA League Pass
Thursday 30 January 2024,Utah Jazz,Minnesota Timberwolves,22:00,TNT
Thursday 30 January 2024,Portland Trail Blazers,Orlando Magic,22:00,NBA League Pass
Friday 31 January 2024,Charlotte Hornets,LA Clippers,19:00,NBA League Pass
Friday 31 January 2024,Detroit Pistons,Dallas Mavericks,19:00,NBA League Pass
Friday 31 January 2024,Toronto Raptors,Chicago Bulls,19:30,NBA League Pass
Friday 31 January 2024,New Orleans Pelicans,Boston Celtics,20:00,NBA League Pass
Friday 31 January 2024,San Antonio Spurs,Milwaukee Bucks,20:00,NBA League Pass
Wednesday 22 January 2025,Dallas Mavericks,Minnesota Timberwolves,19:30,ESPN
Wednesday 22 January 2025,Sacramento Kings,Golden State Warriors,22:00,ESPN
Saturday 25 January 2025,San Antonio Spurs,Indiana Pacers,12:00,ESPN
Wednesday 29 January 2025,New York Knicks,Denver Nuggets,19:30,ESPN
Wednesday 29 January 2025,Golden State Warriors,Oklahoma City Thunder,22:00,ESPN
Friday 31 January 2025,Philadelphia 76ers,Denver Nuggets,19:30,ESPN
Friday 31 January 2025,Golden State Warriors,Phoenix Suns,22:00,ESPN
